"","Manufacturer","Sales.in.thousands","X4.year.resale.value","Popularity","MSRP"
"104","Mercedes-Benz",18.392,"26.05",617,2000
"105","Mercedes-Benz",18.392,"26.05",617,2124
"106","Mercedes-Benz",18.392,"26.05",617,3552
"107","Mercedes-Benz",18.392,"26.05",617,2179
"108","Mercedes-Benz",18.392,"26.05",617,2000
"109","Mercedes-Benz",18.392,"26.05",617,2000
"110","Mercedes-Benz",18.392,"26.05",617,2377
"111","Mercedes-Benz",18.392,"26.05",617,3814
"112","Mercedes-Benz",18.392,"26.05",617,2207
"113","Mercedes-Benz",18.392,"26.05",617,2000
"114","Mercedes-Benz",18.392,"26.05",617,2248
"115","Mercedes-Benz",18.392,"26.05",617,2065
"116","Mercedes-Benz",18.392,"26.05",617,2547
"117","Mercedes-Benz",18.392,"26.05",617,2282
"118","Mercedes-Benz",18.392,"26.05",617,2000
"119","Mercedes-Benz",18.392,"26.05",617,2544
"120","Mercedes-Benz",18.392,"26.05",617,2397
"121","Mercedes-Benz",18.392,"26.05",617,2000
"122","Mercedes-Benz",18.392,"26.05",617,4174
"123","Mercedes-Benz",18.392,"26.05",617,2187
"124","Mercedes-Benz",18.392,"26.05",617,2729
"125","Mercedes-Benz",18.392,"26.05",617,2433
"126","Mercedes-Benz",18.392,"26.05",617,2247
"127","Mercedes-Benz",18.392,"26.05",617,2540
"128","Mercedes-Benz",18.392,"26.05",617,2144
"129","Mercedes-Benz",18.392,"26.05",617,2098
"130","Mercedes-Benz",18.392,"26.05",617,2178
"131","Mercedes-Benz",18.392,"26.05",617,2311
"132","Mercedes-Benz",18.392,"26.05",617,2168
"133","Mercedes-Benz",18.392,"26.05",617,2497
"134","Mercedes-Benz",18.392,"26.05",617,2278
"135","Mercedes-Benz",18.392,"26.05",617,2650
"136","Mercedes-Benz",18.392,"26.05",617,2000
"137","Mercedes-Benz",18.392,"26.05",617,2186
"138","Mercedes-Benz",18.392,"26.05",617,4155
"139","Mercedes-Benz",18.392,"26.05",617,2427
"140","Mercedes-Benz",18.392,"26.05",617,3245
"141","Mercedes-Benz",18.392,"26.05",617,4701
"142","Mercedes-Benz",18.392,"26.05",617,3176
"143","Mercedes-Benz",18.392,"26.05",617,3613
"144","Mercedes-Benz",18.392,"26.05",617,5140
"145","Mercedes-Benz",18.392,"26.05",617,2692
"146","Mercedes-Benz",18.392,"26.05",617,2323
"147","Mercedes-Benz",18.392,"26.05",617,2170
"148","Mercedes-Benz",18.392,"26.05",617,2443
"149","Mercedes-Benz",18.392,"26.05",617,2304
"150","Mercedes-Benz",18.392,"26.05",617,2960
"151","Mercedes-Benz",18.392,"26.05",617,3108
"152","Mercedes-Benz",18.392,"26.05",617,4623
"153","Mercedes-Benz",18.392,"26.05",617,3211
"154","Mercedes-Benz",18.392,"26.05",617,129900
"155","Mercedes-Benz",18.392,"26.05",617,131200
"156","Mercedes-Benz",18.392,"26.05",617,111200
"157","Mercedes-Benz",18.392,"26.05",617,41450
"158","Mercedes-Benz",18.392,"26.05",617,41450
"159","Mercedes-Benz",18.392,"26.05",617,39900
"160","Mercedes-Benz",18.392,"26.05",617,40400
"161","Mercedes-Benz",18.392,"26.05",617,46050
"162","Mercedes-Benz",18.392,"26.05",617,42575
"163","Mercedes-Benz",18.392,"26.05",617,62950
"164","Mercedes-Benz",18.392,"26.05",617,38400
"165","Mercedes-Benz",18.392,"26.05",617,44050
"166","Mercedes-Benz",18.392,"26.05",617,41050
"167","Mercedes-Benz",18.392,"26.05",617,48590
"168","Mercedes-Benz",18.392,"26.05",617,39050
"169","Mercedes-Benz",18.392,"26.05",617,71900
"170","Mercedes-Benz",18.392,"26.05",617,40575
"171","Mercedes-Benz",18.392,"26.05",617,63900
"172","Mercedes-Benz",18.392,"26.05",617,39400
"173","Mercedes-Benz",18.392,"26.05",617,43125
"174","Mercedes-Benz",18.392,"26.05",617,50800
"175","Mercedes-Benz",18.392,"26.05",617,41125
"176","Mercedes-Benz",18.392,"26.05",617,41275
"177","Mercedes-Benz",18.392,"26.05",617,73250
"178","Mercedes-Benz",18.392,"26.05",617,65250
"179","Mercedes-Benz",18.392,"26.05",617,38950
"180","Mercedes-Benz",18.392,"26.05",617,39275
"181","Mercedes-Benz",18.392,"26.05",617,40950
"182","Mercedes-Benz",18.392,"26.05",617,39850
"183","Mercedes-Benz",18.392,"26.05",617,39500
"184","Mercedes-Benz",18.392,"26.05",617,52000
"185","Mercedes-Benz",18.392,"26.05",617,72800
"186","Mercedes-Benz",18.392,"26.05",617,67000
"187","Mercedes-Benz",18.392,"26.05",617,41675
"188","Mercedes-Benz",18.392,"26.05",617,44650
"189","Mercedes-Benz",18.392,"26.05",617,42650
"190","Mercedes-Benz",18.392,"26.05",617,43675
"191","Mercedes-Benz",18.392,"26.05",617,65200
"192","Mercedes-Benz",18.392,"26.05",617,41500
"193","Mercedes-Benz",18.392,"26.05",617,41850
"194","Mercedes-Benz",18.392,"26.05",617,75000
"195","Mercedes-Benz",18.392,"26.05",617,52900
"196","Mercedes-Benz",18.392,"26.05",617,50900
"197","Mercedes-Benz",18.392,"26.05",617,3555
"198","Mercedes-Benz",18.392,"26.05",617,3996
"199","Mercedes-Benz",18.392,"26.05",617,4330
"200","Mercedes-Benz",18.392,"26.05",617,4472
"201","Mercedes-Benz",18.392,"26.05",617,4661
"202","Mercedes-Benz",18.392,"26.05",617,5739
"203","Mercedes-Benz",18.392,"26.05",617,211000
"204","Mercedes-Benz",18.392,"26.05",617,158700
"205","Mercedes-Benz",18.392,"26.05",617,114100
"206","Mercedes-Benz",18.392,"26.05",617,151500
"207","Mercedes-Benz",18.392,"26.05",617,213200
"208","Mercedes-Benz",18.392,"26.05",617,153000
"209","Mercedes-Benz",18.392,"26.05",617,115300
"210","Mercedes-Benz",18.392,"26.05",617,160300
"211","Mercedes-Benz",18.392,"26.05",617,215500
"212","Mercedes-Benz",18.392,"26.05",617,116600
"213","Mercedes-Benz",18.392,"26.05",617,162000
"214","Mercedes-Benz",18.392,"26.05",617,154600
"215","Mercedes-Benz",18.392,"26.05",617,31500
"216","Mercedes-Benz",18.392,"26.05",617,33500
"217","Mercedes-Benz",18.392,"26.05",617,48500
"218","Mercedes-Benz",18.392,"26.05",617,32050
"219","Mercedes-Benz",18.392,"26.05",617,49500
"220","Mercedes-Benz",18.392,"26.05",617,34050
"221","Mercedes-Benz",18.392,"26.05",617,32400
"222","Mercedes-Benz",18.392,"26.05",617,34400
"223","Mercedes-Benz",18.392,"26.05",617,49950
"224","Mercedes-Benz",18.392,"26.05",617,54200
"225","Mercedes-Benz",18.392,"26.05",617,89200
"226","Mercedes-Benz",18.392,"26.05",617,46200
"227","Mercedes-Benz",18.392,"26.05",617,62900
"228","Mercedes-Benz",18.392,"26.05",617,54900
"229","Mercedes-Benz",18.392,"26.05",617,46450
"230","Mercedes-Benz",18.392,"26.05",617,55150
"231","Mercedes-Benz",18.392,"26.05",617,135000
"232","Mercedes-Benz",18.392,"26.05",617,63200
"233","Mercedes-Benz",18.392,"26.05",617,89500
"234","Mercedes-Benz",18.392,"26.05",617,54500
"235","Mercedes-Benz",18.392,"26.05",617,56100
"236","Mercedes-Benz",18.392,"26.05",617,64800
"237","Mercedes-Benz",18.392,"26.05",617,56800
"238","Mercedes-Benz",18.392,"26.05",617,48100
"239","Mercedes-Benz",18.392,"26.05",617,73200
"240","Mercedes-Benz",18.392,"26.05",617,106550
"241","Mercedes-Benz",18.392,"26.05",617,65990
"242","Mercedes-Benz",18.392,"26.05",617,68490
"243","Mercedes-Benz",18.392,"26.05",617,75700
"244","Mercedes-Benz",18.392,"26.05",617,66900
"245","Mercedes-Benz",18.392,"26.05",617,69400
"246","Mercedes-Benz",18.392,"26.05",617,107800
"247","Mercedes-Benz",18.392,"26.05",617,76600
"248","Mercedes-Benz",18.392,"26.05",617,74100
"249","Mercedes-Benz",18.392,"26.05",617,74850
"250","Mercedes-Benz",18.392,"26.05",617,77350
"251","Mercedes-Benz",18.392,"26.05",617,108900
"252","Mercedes-Benz",18.392,"26.05",617,55850
"253","Mercedes-Benz",18.392,"26.05",617,93600
"254","Mercedes-Benz",18.392,"26.05",617,53350
"255","Mercedes-Benz",18.392,"26.05",617,57100
"256","Mercedes-Benz",18.392,"26.05",617,54800
"257","Mercedes-Benz",18.392,"26.05",617,59000
"258","Mercedes-Benz",18.392,"26.05",617,54300
"259","Mercedes-Benz",18.392,"26.05",617,67750
"260","Mercedes-Benz",18.392,"26.05",617,52300
"261","Mercedes-Benz",18.392,"26.05",617,100600
"262","Mercedes-Benz",18.392,"26.05",617,103200
"263","Mercedes-Benz",18.392,"26.05",617,52300
"264","Mercedes-Benz",18.392,"26.05",617,64850
"265","Mercedes-Benz",18.392,"26.05",617,54300
"266","Mercedes-Benz",18.392,"26.05",617,59400
"267","Mercedes-Benz",18.392,"26.05",617,61350
"268","Mercedes-Benz",18.392,"26.05",617,51800
"269","Mercedes-Benz",18.392,"26.05",617,59000
"270","Mercedes-Benz",18.392,"26.05",617,54800
"271","Mercedes-Benz",18.392,"26.05",617,51800
"272","Mercedes-Benz",18.392,"26.05",617,62350
"273","Mercedes-Benz",18.392,"26.05",617,63100
"274","Mercedes-Benz",18.392,"26.05",617,59900
"275","Mercedes-Benz",18.392,"26.05",617,59900
"276","Mercedes-Benz",18.392,"26.05",617,55150
"277","Mercedes-Benz",18.392,"26.05",617,53100
"278","Mercedes-Benz",18.392,"26.05",617,65600
"279","Mercedes-Benz",18.392,"26.05",617,101700
"280","Mercedes-Benz",18.392,"26.05",617,53100
"281","Mercedes-Benz",18.392,"26.05",617,55600
"282","Mercedes-Benz",18.392,"26.05",617,54200
"283","Mercedes-Benz",18.392,"26.05",617,60300
"284","Mercedes-Benz",18.392,"26.05",617,62250
"285","Mercedes-Benz",18.392,"26.05",617,55150
"286","Mercedes-Benz",18.392,"26.05",617,55600
"287","Mercedes-Benz",18.392,"26.05",617,68700
"288","Mercedes-Benz",18.392,"26.05",617,104300
"289","Mercedes-Benz",18.392,"26.05",617,52650
"290","Mercedes-Benz",18.392,"26.05",617,52650
"291","Mercedes-Benz",18.392,"26.05",617,56700
"292","Mercedes-Benz",18.392,"26.05",617,62600
"293","Mercedes-Benz",18.392,"26.05",617,54650
"294","Mercedes-Benz",18.392,"26.05",617,54650
"295","Mercedes-Benz",18.392,"26.05",617,57050
"296","Mercedes-Benz",18.392,"26.05",617,52150
"297","Mercedes-Benz",18.392,"26.05",617,52150
"298","Mercedes-Benz",18.392,"26.05",617,54550
"299","Mercedes-Benz",18.392,"26.05",617,60650
"300","Mercedes-Benz",18.392,"26.05",617,69100
"301","Mercedes-Benz",18.392,"26.05",617,5878
"302","Mercedes-Benz",18.392,"26.05",617,6120
"303","Mercedes-Benz",18.392,"26.05",617,115400
"304","Mercedes-Benz",18.392,"26.05",617,137100
"305","Mercedes-Benz",18.392,"26.05",617,119900
"306","Mercedes-Benz",18.392,"26.05",617,139900
"307","Mercedes-Benz",18.392,"26.05",617,217900
"308","Mercedes-Benz",18.392,"26.05",617,63000
"309","Mercedes-Benz",18.392,"26.05",617,64550
"310","Mercedes-Benz",18.392,"26.05",617,88600
"311","Mercedes-Benz",18.392,"26.05",617,118160
"312","Mercedes-Benz",18.392,"26.05",617,119450
"313","Mercedes-Benz",18.392,"26.05",617,89950
"314","Mercedes-Benz",18.392,"26.05",617,65200
"315","Mercedes-Benz",18.392,"26.05",617,63600
"316","Mercedes-Benz",18.392,"26.05",617,89950
"317","Mercedes-Benz",18.392,"26.05",617,63600
"318","Mercedes-Benz",18.392,"26.05",617,65200
"319","Mercedes-Benz",18.392,"26.05",617,119450
"320","Mercedes-Benz",18.392,"26.05",617,31300
"321","Mercedes-Benz",18.392,"26.05",617,33300
"322","Mercedes-Benz",18.392,"26.05",617,48300
"323","Mercedes-Benz",18.392,"26.05",617,49580
"324","Mercedes-Benz",18.392,"26.05",617,32500
"325","Mercedes-Benz",18.392,"26.05",617,34500
"326","Mercedes-Benz",18.392,"26.05",617,49900
"327","Mercedes-Benz",18.392,"26.05",617,32850
"328","Mercedes-Benz",18.392,"26.05",617,34850
"329","Mercedes-Benz",18.392,"26.05",617,38950
"330","Mercedes-Benz",18.392,"26.05",617,40950
"331","Mercedes-Benz",18.392,"26.05",617,39150
"332","Mercedes-Benz",18.392,"26.05",617,41150
"333","Mercedes-Benz",18.392,"26.05",617,65100
"334","Mercedes-Benz",18.392,"26.05",617,109300
"335","Mercedes-Benz",18.392,"26.05",617,69650
"336","Mercedes-Benz",18.392,"26.05",617,110650
"337","Mercedes-Benz",18.392,"26.05",617,64600
"338","Mercedes-Benz",18.392,"26.05",617,99950
"339","Mercedes-Benz",18.392,"26.05",617,51100
"340","Mercedes-Benz",18.392,"26.05",617,107100
"341","Mercedes-Benz",18.392,"26.05",617,52500
"342","Mercedes-Benz",18.392,"26.05",617,53600
"343","Mercedes-Benz",18.392,"26.05",617,108840
"344","Mercedes-Benz",18.392,"26.05",617,101690
"345","Mercedes-Benz",18.392,"26.05",617,65650
"346","Mercedes-Benz",18.392,"26.05",617,52000
"347","Mercedes-Benz",18.392,"26.05",617,54500
"348","Mercedes-Benz",18.392,"26.05",617,37090
"349","Mercedes-Benz",18.392,"26.05",617,39090
"350","Mercedes-Benz",18.392,"26.05",617,38590
"351","Mercedes-Benz",18.392,"26.05",617,38980
"352","Mercedes-Benz",18.392,"26.05",617,39480
"353","Mercedes-Benz",18.392,"26.05",617,37480
"354","Mercedes-Benz",18.392,"26.05",617,37900
"355","Mercedes-Benz",18.392,"26.05",617,39900
"356","Mercedes-Benz",18.392,"26.05",617,39400
"357","Mercedes-Benz",18.392,"26.05",617,124100
"358","Mercedes-Benz",18.392,"26.05",617,93850
"359","Mercedes-Benz",18.392,"26.05",617,68700
"360","Mercedes-Benz",18.392,"26.05",617,51270
"361","Mercedes-Benz",18.392,"26.05",617,96100
"362","Mercedes-Benz",18.392,"26.05",617,58800
"363","Mercedes-Benz",18.392,"26.05",617,49770
"364","Mercedes-Benz",18.392,"26.05",617,47270
"365","Mercedes-Benz",18.392,"26.05",617,97250
"366","Mercedes-Benz",18.392,"26.05",617,51790
"367","Mercedes-Benz",18.392,"26.05",617,50290
"368","Mercedes-Benz",18.392,"26.05",617,59450
"369","Mercedes-Benz",18.392,"26.05",617,47790
"370","Mercedes-Benz",18.392,"26.05",617,62900
"371","Mercedes-Benz",18.392,"26.05",617,48300
"372","Mercedes-Benz",18.392,"26.05",617,49800
"373","Mercedes-Benz",18.392,"26.05",617,98400
"374","Mercedes-Benz",18.392,"26.05",617,50800
"375","Mercedes-Benz",18.392,"26.05",617,189350
"376","Mercedes-Benz",18.392,"26.05",617,191300
"377","Mercedes-Benz",18.392,"26.05",617,32500
"378","Mercedes-Benz",18.392,"26.05",617,28950
"379","Mercedes-Benz",18.392,"26.05",617,5650
"380","Mercedes-Benz",18.392,"26.05",617,49300
"381","Mercedes-Benz",18.392,"26.05",617,50800
"382","Mercedes-Benz",18.392,"26.05",617,50240
"383","Mercedes-Benz",18.392,"26.05",617,51740
"384","Mercedes-Benz",18.392,"26.05",617,52690
"385","Mercedes-Benz",18.392,"26.05",617,53840
"386","Mercedes-Benz",18.392,"26.05",617,94400
"387","Mercedes-Benz",18.392,"26.05",617,141450
"388","Mercedes-Benz",18.392,"26.05",617,97400
"389","Mercedes-Benz",18.392,"26.05",617,160900
"390","Mercedes-Benz",18.392,"26.05",617,222000
"391","Mercedes-Benz",18.392,"26.05",617,230900
"392","Mercedes-Benz",18.392,"26.05",617,166900
"393","Mercedes-Benz",18.392,"26.05",617,119900
"394","Mercedes-Benz",18.392,"26.05",617,234050
"395","Mercedes-Benz",18.392,"26.05",617,121550
"396","Mercedes-Benz",18.392,"26.05",617,143250
"397","Mercedes-Benz",18.392,"26.05",617,95650
"398","Mercedes-Benz",18.392,"26.05",617,169050
"399","Mercedes-Benz",18.392,"26.05",617,98650
"400","Mercedes-Benz",18.392,"26.05",617,163150
"401","Mercedes-Benz",18.392,"26.05",617,224650
"402","Mercedes-Benz",18.392,"26.05",617,144700
"403","Mercedes-Benz",18.392,"26.05",617,99600
"404","Mercedes-Benz",18.392,"26.05",617,131400
"405","Mercedes-Benz",18.392,"26.05",617,170750
"406","Mercedes-Benz",18.392,"26.05",617,176400
"407","Mercedes-Benz",18.392,"26.05",617,226900
"408","Mercedes-Benz",18.392,"26.05",617,247900
"409","Mercedes-Benz",18.392,"26.05",617,96600
"410","Mercedes-Benz",18.392,"26.05",617,84000
"411","Mercedes-Benz",18.392,"26.05",617,106700
"412","Mercedes-Benz",18.392,"26.05",617,214500
"413","Mercedes-Benz",18.392,"26.05",617,147300
"414","Mercedes-Benz",18.392,"26.05",617,108050
"415","Mercedes-Benz",18.392,"26.05",617,85050
"416","Mercedes-Benz",18.392,"26.05",617,217550
"417","Mercedes-Benz",18.392,"26.05",617,149700
"418","Mercedes-Benz",18.392,"26.05",617,110800
"419","Mercedes-Benz",18.392,"26.05",617,151350
"420","Mercedes-Benz",18.392,"26.05",617,219850
"421","Mercedes-Benz",18.392,"26.05",617,86950
"422","Mercedes-Benz",18.392,"26.05",617,60300
"423","Mercedes-Benz",18.392,"26.05",617,47950
"424","Mercedes-Benz",18.392,"26.05",617,56225
"425","Mercedes-Benz",18.392,"26.05",617,68925
"426","Mercedes-Benz",18.392,"26.05",617,43525
"427","Mercedes-Benz",18.392,"26.05",617,43950
"428","Mercedes-Benz",18.392,"26.05",617,57650
"429","Mercedes-Benz",18.392,"26.05",617,70850
"430","Mercedes-Benz",18.392,"26.05",617,59200
"431","Mercedes-Benz",18.392,"26.05",617,47000
"432","Mercedes-Benz",18.392,"26.05",617,72600
"433","Mercedes-Benz",18.392,"26.05",617,480000
"434","Mercedes-Benz",18.392,"26.05",617,495000
"435","Mercedes-Benz",18.392,"26.05",617,495000
"436","Mercedes-Benz",18.392,"26.05",617,221580
"437","Mercedes-Benz",18.392,"26.05",617,228080
"438","Mercedes-Benz",18.392,"26.05",617,199500
"439","Mercedes-Benz",18.392,"26.05",617,206000
"440","Mercedes-Benz",18.392,"26.05",617,275000
"441","Mercedes-Benz",18.392,"26.05",617,201500
"442","Mercedes-Benz",18.392,"26.05",617,208000
"443","Mercedes-Benz",18.392,"26.05",617,183000
"444","Mercedes-Benz",18.392,"26.05",617,189600
"445","Mercedes-Benz",18.392,"26.05",617,196100
"446","Mercedes-Benz",27.602,"41.45",617,2000
"447","Mercedes-Benz",27.602,"41.45",617,2000
"448","Mercedes-Benz",27.602,"41.45",617,2000
"449","Mercedes-Benz",27.602,"41.45",617,2000
"450","Mercedes-Benz",27.602,"41.45",617,2000
"451","Mercedes-Benz",27.602,"41.45",617,2000
"452","Mercedes-Benz",27.602,"41.45",617,2232
"453","Mercedes-Benz",27.602,"41.45",617,2000
"454","Mercedes-Benz",27.602,"41.45",617,2000
"455","Mercedes-Benz",27.602,"41.45",617,2105
"456","Mercedes-Benz",27.602,"41.45",617,2199
"457","Mercedes-Benz",27.602,"41.45",617,2000
"458","Mercedes-Benz",27.602,"41.45",617,2124
"459","Mercedes-Benz",27.602,"41.45",617,3552
"460","Mercedes-Benz",27.602,"41.45",617,2179
"461","Mercedes-Benz",27.602,"41.45",617,2000
"462","Mercedes-Benz",27.602,"41.45",617,2000
"463","Mercedes-Benz",27.602,"41.45",617,2377
"464","Mercedes-Benz",27.602,"41.45",617,3814
"465","Mercedes-Benz",27.602,"41.45",617,2207
"466","Mercedes-Benz",27.602,"41.45",617,2000
"467","Mercedes-Benz",27.602,"41.45",617,2248
"468","Mercedes-Benz",27.602,"41.45",617,2065
"469","Mercedes-Benz",27.602,"41.45",617,2547
"470","Mercedes-Benz",27.602,"41.45",617,2282
"471","Mercedes-Benz",27.602,"41.45",617,2000
"472","Mercedes-Benz",27.602,"41.45",617,2544
"473","Mercedes-Benz",27.602,"41.45",617,2397
"474","Mercedes-Benz",27.602,"41.45",617,2000
"475","Mercedes-Benz",27.602,"41.45",617,4174
"476","Mercedes-Benz",27.602,"41.45",617,2187
"477","Mercedes-Benz",27.602,"41.45",617,2729
"478","Mercedes-Benz",27.602,"41.45",617,2433
"479","Mercedes-Benz",27.602,"41.45",617,2247
"480","Mercedes-Benz",27.602,"41.45",617,2540
"481","Mercedes-Benz",27.602,"41.45",617,2144
"482","Mercedes-Benz",27.602,"41.45",617,2098
"483","Mercedes-Benz",27.602,"41.45",617,2178
"484","Mercedes-Benz",27.602,"41.45",617,2311
"485","Mercedes-Benz",27.602,"41.45",617,2168
"486","Mercedes-Benz",27.602,"41.45",617,2497
"487","Mercedes-Benz",27.602,"41.45",617,2278
"488","Mercedes-Benz",27.602,"41.45",617,2650
"489","Mercedes-Benz",27.602,"41.45",617,2000
"490","Mercedes-Benz",27.602,"41.45",617,2186
"491","Mercedes-Benz",27.602,"41.45",617,4155
"492","Mercedes-Benz",27.602,"41.45",617,2427
"493","Mercedes-Benz",27.602,"41.45",617,3245
"494","Mercedes-Benz",27.602,"41.45",617,4701
"495","Mercedes-Benz",27.602,"41.45",617,3176
"496","Mercedes-Benz",27.602,"41.45",617,3613
"497","Mercedes-Benz",27.602,"41.45",617,5140
"498","Mercedes-Benz",27.602,"41.45",617,2692
"499","Mercedes-Benz",27.602,"41.45",617,2323
"500","Mercedes-Benz",27.602,"41.45",617,2170
"501","Mercedes-Benz",27.602,"41.45",617,2443
"502","Mercedes-Benz",27.602,"41.45",617,2304
"503","Mercedes-Benz",27.602,"41.45",617,2960
"504","Mercedes-Benz",27.602,"41.45",617,3108
"505","Mercedes-Benz",27.602,"41.45",617,4623
"506","Mercedes-Benz",27.602,"41.45",617,3211
"507","Mercedes-Benz",27.602,"41.45",617,129900
"508","Mercedes-Benz",27.602,"41.45",617,131200
"509","Mercedes-Benz",27.602,"41.45",617,111200
"510","Mercedes-Benz",27.602,"41.45",617,41450
"511","Mercedes-Benz",27.602,"41.45",617,41450
"512","Mercedes-Benz",27.602,"41.45",617,39900
"513","Mercedes-Benz",27.602,"41.45",617,40400
"514","Mercedes-Benz",27.602,"41.45",617,46050
"515","Mercedes-Benz",27.602,"41.45",617,42575
"516","Mercedes-Benz",27.602,"41.45",617,62950
"517","Mercedes-Benz",27.602,"41.45",617,38400
"518","Mercedes-Benz",27.602,"41.45",617,44050
"519","Mercedes-Benz",27.602,"41.45",617,41050
"520","Mercedes-Benz",27.602,"41.45",617,48590
"521","Mercedes-Benz",27.602,"41.45",617,39050
"522","Mercedes-Benz",27.602,"41.45",617,71900
